group,insertion,test_number,n_before,n_after,n_removed,mad_multiplier
TXPA LUT22 @ 77GHz tests 54155-54162,S3,54155,11785,11739,46,5.0
TXPA LUT22 @ 77GHz tests 54155-54162,S3,54156,11785,11726,59,5.0
TXPA LUT22 @ 77GHz tests 54155-54162,S3,54157,11785,11726,59,5.0
TXPA LUT22 @ 77GHz tests 54155-54162,S3,54158,11785,11740,45,5.0
TXPA LUT22 @ 77GHz tests 54155-54162,S3,54159,11785,11738,47,5.0
TXPA LUT22 @ 77GHz tests 54155-54162,S3,54160,11785,11734,51,5.0
TXPA LUT22 @ 77GHz tests 54155-54162,S3,54161,11785,11722,63,5.0
TXPA LUT22 @ 77GHz tests 54155-54162,S3,54162,11785,11732,53,5.0
TXPA LUT22 @ 81GHz tests 53187-53194,S1,53187,12243,11902,341,5.0
TXPA LUT22 @ 81GHz tests 53187-53194,S1,53188,12243,11879,364,5.0
TXPA LUT22 @ 81GHz tests 53187-53194,S1,53189,12243,11931,312,5.0
TXPA LUT22 @ 81GHz tests 53187-53194,S1,53190,12243,11833,410,5.0
TXPA LUT22 @ 81GHz tests 53187-53194,S1,53191,12243,11804,439,5.0
TXPA LUT22 @ 81GHz tests 53187-53194,S1,53192,12243,11848,395,5.0
TXPA LUT22 @ 81GHz tests 53187-53194,S1,53193,12243,11844,399,5.0
TXPA LUT22 @ 81GHz tests 53187-53194,S1,53194,12243,11821,422,5.0
TXPA LUT22 @ 81GHz tests 53187-53194,S2,53187,12028,11985,43,5.0
TXPA LUT22 @ 81GHz tests 53187-53194,S2,53188,12028,11984,44,5.0
TXPA LUT22 @ 81GHz tests 53187-53194,S2,53189,12028,11977,51,5.0
TXPA LUT22 @ 81GHz tests 53187-53194,S2,53190,12028,11980,48,5.0
TXPA LUT22 @ 81GHz tests 53187-53194,S2,53191,12028,11971,57,5.0
TXPA LUT22 @ 81GHz tests 53187-53194,S2,53192,12028,11967,61,5.0
TXPA LUT22 @ 81GHz tests 53187-53194,S2,53193,12028,11952,76,5.0
TXPA LUT22 @ 81GHz tests 53187-53194,S2,53194,12028,11959,69,5.0
TXPA LUT22 @ 81GHz tests 53187-53194,S3,53187,11785,11715,70,5.0
TXPA LUT22 @ 81GHz tests 53187-53194,S3,53188,11785,11706,79,5.0
TXPA LUT22 @ 81GHz tests 53187-53194,S3,53189,11785,11704,81,5.0
TXPA LUT22 @ 81GHz tests 53187-53194,S3,53190,11785,11705,80,5.0
TXPA LUT22 @ 81GHz tests 53187-53194,S3,53191,11785,11671,114,5.0
TXPA LUT22 @ 81GHz tests 53187-53194,S3,53192,11785,11687,98,5.0
TXPA LUT22 @ 81GHz tests 53187-53194,S3,53193,11785,11679,106,5.0
TXPA LUT22 @ 81GHz tests 53187-53194,S3,53194,11785,11690,95,5.0
TXPA LUT36 @ 76GHz tests 55163-55170,S1,55163,12243,11975,268,5.0
TXPA LUT36 @ 76GHz tests 55163-55170,S1,55164,12243,11990,253,5.0
TXPA LUT36 @ 76GHz tests 55163-55170,S1,55165,12243,11992,251,5.0
TXPA LUT36 @ 76GHz tests 55163-55170,S1,55166,12243,11976,267,5.0
TXPA LUT36 @ 76GHz tests 55163-55170,S1,55167,12243,11951,292,5.0
TXPA LUT36 @ 76GHz tests 55163-55170,S1,55168,12243,11992,251,5.0
TXPA LUT36 @ 76GHz tests 55163-55170,S1,55169,12243,11952,291,5.0
TXPA LUT36 @ 76GHz tests 55163-55170,S1,55170,12243,11950,293,5.0
TXPA LUT36 @ 76GHz tests 55163-55170,S2,55163,12028,11978,50,5.0
TXPA LUT36 @ 76GHz tests 55163-55170,S2,55164,12028,11996,32,5.0
TXPA LUT36 @ 76GHz tests 55163-55170,S2,55165,12028,11999,29,5.0
TXPA LUT36 @ 76GHz tests 55163-55170,S2,55166,12028,11993,35,5.0
TXPA LUT36 @ 76GHz tests 55163-55170,S2,55167,12028,11989,39,5.0
TXPA LUT36 @ 76GHz tests 55163-55170,S2,55168,12028,11987,41,5.0
TXPA LUT36 @ 76GHz tests 55163-55170,S2,55169,12028,11984,44,5.0
TXPA LUT36 @ 76GHz tests 55163-55170,S2,55170,12028,11988,40,5.0
TXPA LUT36 @ 76GHz tests 55163-55170,S3,55163,11785,11717,68,5.0
TXPA LUT36 @ 76GHz tests 55163-55170,S3,55164,11785,11713,72,5.0
TXPA LUT36 @ 76GHz tests 55163-55170,S3,55165,11785,11726,59,5.0
TXPA LUT36 @ 76GHz tests 55163-55170,S3,55166,11785,11732,53,5.0
TXPA LUT36 @ 76GHz tests 55163-55170,S3,55167,11785,11722,63,5.0
TXPA LUT36 @ 76GHz tests 55163-55170,S3,55168,11785,11720,65,5.0
TXPA LUT36 @ 76GHz tests 55163-55170,S3,55169,11785,11716,69,5.0
TXPA LUT36 @ 76GHz tests 55163-55170,S3,55170,11785,11719,66,5.0
TXPA LUT36 @ 77GHz tests 54163-54170,S1,54163,12243,11962,281,5.0
TXPA LUT36 @ 77GHz tests 54163-54170,S1,54164,12243,11998,245,5.0
TXPA LUT36 @ 77GHz tests 54163-54170,S1,54165,12243,11947,296,5.0
TXPA LUT36 @ 77GHz tests 54163-54170,S1,54166,12243,11948,295,5.0
TXPA LUT36 @ 77GHz tests 54163-54170,S1,54167,12243,11898,345,5.0
TXPA LUT36 @ 77GHz tests 54163-54170,S1,54168,12243,11926,317,5.0
TXPA LUT36 @ 77GHz tests 54163-54170,S1,54169,12243,11892,351,5.0
TXPA LUT36 @ 77GHz tests 54163-54170,S1,54170,12243,11901,342,5.0
TXPA LUT36 @ 77GHz tests 54163-54170,S2,54163,12028,11985,43,5.0
